ID,Review_Date,Author_Name,Vehicle_Title,Review_Title,Rating,Marque
60,27/04/2017,Neil,2012 Aston Martin V8 Vantage Coupe S 2dr Coupe (4.7L 8cyl 7AM),James Bond's car make of choice,5,Aston-Martin
61,07/06/2017,James Rogers,2015 Aston Martin V8 Vantage Coupe GT 2dr Coupe (4.7L 8cyl 6M),A great car for the right person,5,Aston-Martin
62,06/07/2010,Wheelman4000,2010 Aston Martin V8 Vantage Convertible Roadster 2dr Convertible (4.7L 8cyl 6M),V8 vantage convertible,4.75,Aston-Martin
63,03/05/2008,kansashick,2007 Aston Martin V8 Vantage Convertible Roadster 2dr Convertible (4.3L 8cyl 6M),Sportster Even More Fun,4.5,Aston-Martin
64,16/04/2017,Thomas,2016 Aston Martin V8 Vantage Convertible GT Roadster 2dr Convertible (4.7L 8cyl 6M),Not for everyone and that's part of its appeal...,4,Aston-Martin
65,29/03/2008,DJ,2008 Aston Martin V8 Vantage Convertible Roadster 2dr Convertible (4.3L 8cyl 6M),Like A Melody,4.375,Aston-Martin
66,09/03/2010,Ken Jaggers,2008 Aston Martin V8 Vantage Coupe 2dr Coupe (4.3L 8cyl 6M),Constant Transmission Problems,3.75,Aston-Martin
67,25/03/2009,K1,2008 Aston Martin V8 Vantage Coupe 2dr Coupe (4.3L 8cyl 6M),"Expensive, but worth it fun and class!",4.375,Aston-Martin
68,25/12/2009,Brian,2009 Aston Martin V8 Vantage Convertible Roadster 2dr Convertible (4.7L 8cyl 6AM),"Not perfect, but the best car ever!",4.375,Aston-Martin
69,12/02/2010,Shawn,2009 Aston Martin V8 Vantage Coupe 2dr Coupe (4.7L 8cyl 6AM),Classy,4.125,Aston-Martin
70,28/12/2009,Booboo,2009 Aston Martin V8 Vantage Coupe 2dr Coupe (4.7L 8cyl 6AM),Not for the faint,3.5,Aston-Martin
71,28/11/2009,gvan54,2009 Aston Martin V8 Vantage Coupe 2dr Coupe (4.7L 8cyl 6AM),Broke the first day.,3.5,Aston-Martin
72,06/04/2009,A M Dude,2009 Aston Martin V8 Vantage Coupe 2dr Coupe (4.7L 8cyl 6AM),Dream Wheels,4.75,Aston-Martin
73,30/10/2007,Vasi,2006 Aston Martin V8 Vantage Coupe 2dr Coupe (4.3L 8cyl 6M),Exclusive!!!,4.625,Aston-Martin
74,29/09/2007,GK,2006 Aston Martin V8 Vantage Coupe 2dr Coupe (4.3L 8cyl 6M),Excellent - Best Sports Car I Have Owned,4.875,Aston-Martin
75,13/09/2007,Aston Martin Vantage,2006 Aston Martin V8 Vantage Coupe 2dr Coupe (4.3L 8cyl 6M),Wonderful car,4.625,Aston-Martin
76,14/08/2007,bob garvey,2006 Aston Martin V8 Vantage Coupe 2dr Coupe (4.3L 8cyl 6M),Love that V8 Vantage,4.875,Aston-Martin
77,18/06/2007,Dave_Car_Guy,2006 Aston Martin V8 Vantage Coupe 2dr Coupe (4.3L 8cyl 6M),I Love my Vantage,4.75,Aston-Martin
78,29/03/2007,MJW,2006 Aston Martin V8 Vantage Coupe 2dr Coupe (4.3L 8cyl 6M),Beauty only skin deep,3,Aston-Martin
79,25/12/2006,tim s,2006 Aston Martin V8 Vantage Coupe 2dr Coupe (4.3L 8cyl 6M),A  keeper,5,Aston-Martin
80,17/10/2006,DEJ,2006 Aston Martin V8 Vantage Coupe 2dr Coupe (4.3L 8cyl 6M),Best Of All Worlds,4.875,Aston-Martin
81,06/09/2006,Bryan Fletcher,2006 Aston Martin V8 Vantage Coupe 2dr Coupe (4.3L 8cyl 6M),WOW,5,Aston-Martin
82,04/08/2006,Sean J,2006 Aston Martin V8 Vantage Coupe 2dr Coupe (4.3L 8cyl 6M),My AM V8 Vantage,4.375,Aston-Martin
83,20/07/2006,Petter,2006 Aston Martin V8 Vantage Coupe 2dr Coupe (4.3L 8cyl 6M),Best fun on wheels!,4.75,Aston-Martin
84,12/06/2006,KansasHick,2006 Aston Martin V8 Vantage Coupe 2dr Coupe (4.3L 8cyl 6M),Simply the best,4.875,Aston-Martin
85,01/06/2006,tdtollie,2006 Aston Martin V8 Vantage Coupe 2dr Coupe (4.3L 8cyl 6M),A Perfect Sports Car!,4.75,Aston-Martin
86,07/05/2006,Rasscasse,2006 Aston Martin V8 Vantage Coupe 2dr Coupe (4.3L 8cyl 6M),AM Vantage V8 is a winner,4.875,Aston-Martin
87,06/05/2006,praskind,2006 Aston Martin V8 Vantage Coupe 2dr Coupe (4.3L 8cyl 6M),Finally...,4.75,Aston-Martin
88,17/03/2011,newcreature,2011 Aston Martin V8 Vantage Convertible N420 Roadster 2dr Convertible (4.7L 8cyl 6M),N420 A Driver's Car,4.875,Aston-Martin
89,21/12/2010,johnred14,2011 Aston Martin V8 Vantage Coupe 2dr Coupe (4.7L 8cyl 6M),just got a 2011 vantage!,4.875,Aston-Martin
